term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,The world's biggest oil traders are counting hefty losses after a surprise doubling in the price discount of U.S. light crude to benchmark Brent &lt;WTCLc1-LCOc1&gt; in just a month  as surging U.S production upends the market.,,,Reuters,,U.S. Oil Boom Delivers Surprise for Traders-And It's Costly,U.S. Oil Boom Delivers Surprise for Traders-And It's Costly,2018-07-15T08:06:30+0000,None,,article,https://www.nytimes.com/reuters/2018/07/15/business/15reuters-oil-traders-wti-brent.html,News,,5b4b008900a1bc2872e7c7a0
Oil Price,U.S. President Donald Trump again accused the Organisation of the Petroleum Exporting Countries of driving gasoline prices higher on Wednesday and urged the oil producer group to do more.,,,Reuters,,Trump to OPEC: 'Reduce Pricing Now!',Trump to OPEC: 'Reduce Pricing Now!',2018-07-05T11:06:55+0000,None,,article,https://www.nytimes.com/reuters/2018/07/05/business/05reuters-oil-opec-trump.html,News,,5b3dfbd000a1bc2872e67345
Oil Price,Oil was mixed on Friday as a Canadian supply outage supported U.S. crude prices  while an increase in production from OPEC's biggest exporter Saudi Arabia pushed Brent lower.,,,Reuters,,Oil Mixed as Saudi Output Rises  Equities Rebound,Oil Mixed as Saudi Output Rises  Equities Rebound,2018-07-06T05:57:14+0000,None,,article,https://www.nytimes.com/reuters/2018/07/06/business/06reuters-global-oil.html,News,,5b3f04bc00a1bc2872e67613
Oil Price,Iran's oil minister on Saturday accused U.S. President Donald Trump of insulting OPEC by ordering it to increase production and reduce prices  adding that Iranian output and exports had not changed as a result of U.S. pressure.,,,Reuters,,Iranian Oil Minister Calls Trump's Order to OPEC Insulting,Iranian Oil Minister Calls Trump's Order to OPEC Insulting,2018-07-07T14:03:02+0000,None,Middle East,article,https://www.nytimes.com/reuters/2018/07/07/world/middleeast/07reuters-iran-oil-usa.html,News,,5b40c81c00a1bc2872e6797f
Oil Price,The world's oil supply cushion could be stretched to the limit due to prolonged outages  supporting prices and threatening demand growth  the International Energy Agency said on Thursday.,,,Reuters,,World's Oil Cushion Could Be Stretched to the Limit  IEA Warns,World's Oil Cushion Could Be Stretched to the Limit  IEA Warns,2018-07-12T08:03:36+0000,None,,article,https://www.nytimes.com/reuters/2018/07/12/business/12reuters-oil-iea.html,News,,5b470b5a00a1bc2872e7bf8c
Oil Price,OPEC on Wednesday forecast world demand for its crude will decline next year as growth in consumption slows and rivals pump more  pointing to a market surplus returning despite an OPEC-led pact to restrain supplies.,,,Reuters,,OPEC Sees Lower 2019 Demand for Its Oil  Points to Surplus Returning,OPEC Sees Lower 2019 Demand for Its Oil  Points to Surplus Returning,2018-07-11T13:19:01+0000,None,,article,https://www.nytimes.com/reuters/2018/07/11/business/11reuters-opec-report.html,News,,5b4603c700a1bc2872e6b38f
Oil Price,The U.S. has nosed ahead of Saudi Arabia and is on pace to surpass Russia to become the world's biggest oil producer for the first time in more than four decades.,,,AP,,US Expected to Become World's Top Oil Producer Next Year,US Expected to Become World's Top Oil Producer Next Year,2018-07-13T15:30:29+0000,None,,article,https://www.nytimes.com/aponline/2018/07/13/us/ap-us-oil-production-us.html,News,,5b48c59800a1bc2872e7c423
Oil Price,Oil will soon cost $100 per barrel due to supply disruptions caused by U.S. President Donald Trump  Iran's OPEC Governor told Reuters on Thursday  as he warned expectations that Saudi Arabia and Russia would help bring down prices were in vain.,,,Reuters,,Iran to Trump: Oil Will Cost $100 Per Barrel  and It Is Your Fault,Iran to Trump: Oil Will Cost $100 Per Barrel  and It Is Your Fault,2018-07-05T17:39:40+0000,None,,article,https://www.nytimes.com/reuters/2018/07/05/business/05reuters-oil-opec-trump-iran.html,News,,5b3e57ed00a1bc2872e6747e
Oil Price,The president of OPEC defended the oil producer group on Monday against U.S. President Donald Trump&#8217;s recent demands for higher oil output  saying OPEC does not shoulder the blame.,,,Reuters,,Do Not Blame OPEC  Oil Producer Group Says of Trump Criticism,Do Not Blame OPEC  Oil Producer Group Says of Trump Criticism,2018-07-09T23:33:49+0000,None,,article,https://www.nytimes.com/reuters/2018/07/09/business/09reuters-oil-opec.html,News,,5b43f0de00a1bc2872e6980c
Oil Price,The U.S. is on pace to leapfrog both Saudi Arabia and Russia and reclaim the title of the world's biggest oil producer for the first time since the 1970s.,,,AP,,US Soon to Leapfrog Saudis  Russia as Top Oil Producer,US Soon to Leapfrog Saudis  Russia as Top Oil Producer,2018-07-11T17:39:25+0000,None,,article,https://www.nytimes.com/aponline/2018/07/11/us/ap-us-oil-production-us.html,News,,5b4640ce00a1bc2872e704a2
